code_rome,uuid,created_at,skill_id,score,summary,details
A1101,ee359294-d429-4280-b1dc-7f426eab9d40,2025-04-30T11:41:12Z,soft_skill_19,1.0,Réactivité,"Répondre rapidement et de manière appropriée aux sollicitations, en particulier dans les situations d’urgence."
A1101,ee359294-d429-4280-b1dc-7f426eab9d40,2025-04-30T11:41:12Z,soft_skill_11,1.0,Être rigoureux,"Prêter attention aux détails, avoir le souci de la vérification et du contrôle en vue de réduire les incertitudes dans son action et dans son environnement."
A1101,ee359294-d429-4280-b1dc-7f426eab9d40,2025-04-30T11:41:12Z,soft_skill_20,0.9411057692307689,Sens de l’analyse,"Examiner, décomposer et comparer les éléments constitutifs d’une situation, d’une procédure, d’un document ou d’un processus en vue de définir les rapports de causalité et établir un diagnostic."
A1101,ee359294-d429-4280-b1dc-7f426eab9d40,2025-04-30T11:41:12Z,soft_skill_09,0.5732304216867469,Sens de l’organisation,Avoir une propension à agencer et structurer son environnement en vue d’optimiser le service rendu.
A1101,ee359294-d429-4280-b1dc-7f426eab9d40,2025-04-30T11:41:12Z,soft_skill_07,0.556640625,Sens des responsabilités,"S’engager, avec discernement, dans une action relevant de ses attributions et assumer ses choix."
A1101,ee359294-d429-4280-b1dc-7f426eab9d40,2025-04-30T11:41:12Z,soft_skill_14,0.5,Avoir l’esprit d’équipe,"Coopérer avec autrui et contribuer, au sein d’une équipe ou d’un projet, à l’atteinte d’un objectif commun."
A1101,ee359294-d429-4280-b1dc-7f426eab9d40,2025-04-30T11:41:12Z,soft_skill_22,0.471783088235294,Sens critique,"S’interroger, porter un jugement constructif, avancer une contreproposition argumentée sur un fait, une situation, une proposition ou une idée."
A1101,ee359294-d429-4280-b1dc-7f426eab9d40,2025-04-30T11:41:12Z,soft_skill_06,0.33040364583333326,Faire preuve d’autorité,Faire accepter son autorité légitime en s’affirmant et en assumant ses responsabilités dans le respect d’autrui.
A1101,ee359294-d429-4280-b1dc-7f426eab9d40,2025-04-30T11:41:12Z,soft_skill_21,0.3040197649572649,Esprit de synthèse,"Réunir, faire émerger et mettre en cohérence les informations essentielles concernant une situation, un document, une procédure ou un processus."
A1101,ee359294-d429-4280-b1dc-7f426eab9d40,2025-04-30T11:41:12Z,soft_skill_23,0.2854330708661417,Sens de l’initiative,"Prendre spontanément, dans son champ de responsabilité, les dispositions susceptibles d’optimiser son action."
A1101,ee359294-d429-4280-b1dc-7f426eab9d40,2025-04-30T11:41:12Z,soft_skill_02,0.16992187499999994,Sens de l’innovation/créativité,"Raisonner différemment, rechercher, imaginer, définir, mettre en œuvre des pratiques, des solutions nouvelles, tout en respectant les procédures en vigueur et l’environnement de travail."
